"","ResponseId","Employment","LearnCode","YearsCode","Gender","WorkExp","EdLevel","Country","Age","Ethnicity"
"12570",12570,"Employed","University","16","Man",13,"Bachelor degree","Canada","35-44 years old","Multiracial"
"12572",12572,"Employed","Online Course","11","Man",20,"Other","United States of America","25-34 years old","White"
"12573",12573,"Employed","University","39","Man",42,"Master's degree","United States of America","55-64 years old","White"
"12574",12574,"Employed","University","35","Man",27,"Other","Sweden","45-54 years old","White"
"12576",12576,"Employed","University","8","Man",8,"Master's degree","France","25-34 years old","European"
"12577",12577,"Employed","Online Course","5","Man",16,"Master's degree","Lithuania","35-44 years old","European"
"12578",12578,"Employed","University","15","Man",6,"Master's degree","Luxembourg","25-34 years old","White"
"12580",12580,"Employed","Online Course","25","Man",20,"Associate degree","Canada","35-44 years old","Multiracial"
"12581",12581,"Employed","Online Course","2","Man",2,"Master's degree","India","18-24 years old","Multiracial"
"12582",12582,"Employed","University","11","Man",5,"Bachelor degree","Finland","35-44 years old","Multiracial"
"12583",12583,"Employed","Online Course","13","Man",5,"Other","Ireland","18-24 years old","European"
"12584",12584,"Employed","University","10","Man",6,"Bachelor degree","United States of America","25-34 years old","White"
"12590",12590,"Employed","University","9","Man",2,"Master's degree","Germany","25-34 years old","European"
"12594",12594,"Employed","University","10","Man",10,"Bachelor degree","United States of America","25-34 years old","White"
"12595",12595,"Employed","Bootcamp","5","Man",5,"Other","United States of America","35-44 years old","White"
"12596",12596,"Employed","Other","19","Man",5,"Bachelor degree","United States of America","25-34 years old","White"
"12597",12597,"Employed","Online Course","34","Man",24,"Other","United States of America","35-44 years old","European"
"12598",12598,"Employed","University","9","Woman",6,"Bachelor degree","United States of America","35-44 years old","Multiracial"
"12599",12599,"Employed","University","5","Man",5,"Bachelor degree","Brazil","18-24 years old","Multiracial"
"12600",12600,"Employed","University","21","Man",15,"Bachelor degree","United States of America","35-44 years old","White"
"12601",12601,"Employed","Online Course","9","Man",4,"Bachelor degree","Brazil","25-34 years old","Multiracial"
"12603",12603,"Employed","Online Course","3","Man",2,"Master's degree","Poland","25-34 years old","European"
"12605",12605,"Employed","University","4","Man",1,"Bachelor degree","United States of America","18-24 years old","White"
"12606",12606,"Employed","University","20","Other",20,"Bachelor degree","United States of America","35-44 years old","Other"
"12607",12607,"Employed","University","9","Man",3,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"12608",12608,"Employed","University","5","Man",6,"Master's degree","United States of America","25-34 years old","Asian"
"12611",12611,"Employed","Online Course","5","Man",5,"Bachelor degree","Bosnia and Herzegovina","25-34 years old","European"
"12612",12612,"Employed","Online Course","3","Other",3,"Master's degree","United States of America","25-34 years old","Multiracial"
"12615",12615,"Employed","University","22","Man",12,"Doctoral degree","Germany","25-34 years old","Multiracial"
"12616",12616,"Employed","Online Course","32","Man",32,"Other","United States of America","55-64 years old","White"
"12619",12619,"Employed","Bootcamp","10","Man",6,"Bachelor degree","Qatar","25-34 years old","Multiracial"
"12621",12621,"Employed","University","20","Man",7,"Master's degree","United States of America","35-44 years old","Multiracial"
"12627",12627,"Employed","Bootcamp","6","Man",2,"Secondary school","Brazil","18-24 years old","Multiracial"
"12628",12628,"Employed","Online Course","33","Man",35,"Other","United States of America","45-54 years old","White"
"12630",12630,"Employed","University","25","Man",22,"Master's degree","Germany","35-44 years old","Multiracial"
"12632",12632,"Employed","University","7","Man",2,"Bachelor degree","Viet Nam","18-24 years old","Multiracial"
"12634",12634,"Employed","Bootcamp","6","Man",3,"Bachelor degree","India","25-34 years old","Indian"
"12636",12636,"Employed","University","12","Man",10,"Master's degree","France","35-44 years old","European"
"12650",12650,"Employed","University","40","Man",6,"Master's degree","Iceland","45-54 years old","European"
"12652",12652,"Employed","University","5","Man",2,"Bachelor degree","Azerbaijan","18-24 years old","White"
"12654",12654,"Employed","Online Course","17","Man",16,"Primary school","Austria","25-34 years old","European"
"12659",12659,"Employed","Online Course","14","Man",11,"Other","United States of America","35-44 years old","White"
"12660",12660,"Employed","Bootcamp","5","Man",4,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"12661",12661,"Employed","University","20","Man",15,"Other","United States of America","35-44 years old","Multiracial"
"12662",12662,"Employed","University","4","Man",10,"Other","United States of America","25-34 years old","Multiracial"
"12665",12665,"Employed","University","15","Man",12,"Doctoral degree","United States of America","25-34 years old","Multiracial"
"12668",12668,"Employed","Online Course","22","Man",13,"Other","United Kingdom of Great Britain and Northern Ireland","35-44 years old","White"
"12670",12670,"Employed","Online Course","6","Man",4,"Secondary school","United Kingdom of Great Britain and Northern Ireland","18-24 years old","White"
"12672",12672,"Employed","University","14","Man",10,"Bachelor degree","Mexico","25-34 years old","Multiracial"
"12679",12679,"Employed","University","9","Man",5,"Bachelor degree","United States of America","25-34 years old","White"
"12680",12680,"Employed","University","13","Man",6,"Other","United States of America","25-34 years old","Multiracial"
"12681",12681,"Employed","Other","30","Other",13,"Master's degree","Germany","35-44 years old","Multiracial"
"12683",12683,"Employed","University","11","Man",5,"Associate degree","Argentina","18-24 years old","Multiracial"
"12684",12684,"Employed","University","18","Man",11,"Bachelor degree","Canada","25-34 years old","White"
"12686",12686,"Employed","University","8","Man",5,"Master's degree","Turkey","25-34 years old","Other"
"12688",12688,"Employed","Online Course","10","Other",2,"Other","United States of America","18-24 years old","Multiracial"
"12690",12690,"Employed","University","13","Other",4,"Bachelor degree","Thailand","25-34 years old","Multiracial"
"12692",12692,"Employed","Online Course","20","Man",15,"Other","Italy","35-44 years old","Multiracial"
"12693",12693,"Employed","University","35","Other",35,"Bachelor degree","United States of America","55-64 years old","Multiracial"
"12694",12694,"Employed","University","5","Man",5,"Master's degree","France","18-24 years old","Multiracial"
"12696",12696,"Employed","University","12","Man",6,"Bachelor degree","United States of America","25-34 years old","White"
"12697",12697,"Employed","University","9","Man",1,"Master's degree","Chile","25-34 years old","Multiracial"
"12699",12699,"Employed","University","10","Man",6,"Bachelor degree","Denmark","25-34 years old","Multiracial"
"12701",12701,"Employed","University","9","Man",6,"Other","United Kingdom of Great Britain and Northern Ireland","18-24 years old","Multiracial"
"12704",12704,"Employed","Online Course","14","Man",11,"Bachelor degree","Canada","25-34 years old","Multiracial"
"12705",12705,"Employed","University","7","Man",7,"Master's degree","Egypt","25-34 years old","Multiracial"
"12707",12707,"Employed","University","20","Man",13,"Bachelor degree","Czech Republic","25-34 years old","European"
"12708",12708,"Employed","University","10","Man",6,"Other","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"12710",12710,"Employed","University","19","Man",6,"Master's degree","Netherlands","25-34 years old","European"
"12711",12711,"Employed","Online Course","9","Woman",9,"Bachelor degree","Philippines","25-34 years old","Multiracial"
"12720",12720,"Employed","Online Course","25","Man",14,"Master's degree","Germany","25-34 years old","Multiracial"
"12721",12721,"Employed","University","6","Man",3,"Bachelor degree","Poland","25-34 years old","White"
"12722",12722,"Employed","University","12","Man",6,"Bachelor degree","United States of America","25-34 years old","White"
"12725",12725,"Employed","Online Course","3","Man",2,"Other","United States of America","18-24 years old","Multiracial"
"12728",12728,"Employed","University","13","Man",8,"Bachelor degree","Uruguay","25-34 years old","Multiracial"
"12730",12730,"Employed","Bootcamp","3","Man",3,"Secondary school","South Africa","18-24 years old","Multiracial"
"12732",12732,"Employed","University","7","Man",3,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","25-34 years old","Asian"
"12733",12733,"Employed","University","12","Man",10,"Bachelor degree","United States of America","25-34 years old","White"
"12735",12735,"Employed","University","23","Man",10,"Other","United States of America","35-44 years old","White"
"12736",12736,"Employed","University","12","Man",3,"Bachelor degree","Switzerland","25-34 years old","Multiracial"
"12741",12741,"Employed","Online Course","7","Man",5,"Other","Brazil","35-44 years old","White"
"12748",12748,"Employed","University","17","Man",17,"Master's degree","Albania","35-44 years old","European"
"12749",12749,"Employed","Online Course","6","Man",6,"Master's degree","Switzerland","25-34 years old","European"
"12753",12753,"Employed","University","33","Man",22,"Bachelor degree","Israel","45-54 years old","Multiracial"
"12754",12754,"Employed","University","30","Man",16,"Bachelor degree","Finland","35-44 years old","European"
"12755",12755,"Employed","Other","15","Man",7,"Master's degree","Dominican Republic","25-34 years old","White"
"12757",12757,"Employed","Online Course","15","Man",9,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"12760",12760,"Employed","Other","24","Man",25,"Master's degree","United States of America","45-54 years old","White"
"12762",12762,"Employed","University","12","Man",4,"Bachelor degree","Germany","25-34 years old","Multiracial"
"12763",12763,"Employed","University","20","Woman",25,"Master's degree","United States of America","35-44 years old","Multiracial"
"12764",12764,"Employed","Bootcamp","4","Man",1,"Bachelor degree","Canada","18-24 years old","Indian"
"12766",12766,"Employed","University","11","Man",5,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"12768",12768,"Employed","University","10","Man",2,"Bachelor degree","France","18-24 years old","European"
"12769",12769,"Employed","University","4","Man",2,"Bachelor degree","Turkey","18-24 years old","Multiracial"
"12776",12776,"Employed","Online Course","3","Man",2,"Bachelor degree","Argentina","25-34 years old","Multiracial"
"12778",12778,"Employed","University","12","Woman",5,"Professional degree","Finland","25-34 years old","Other"
"12780",12780,"Employed","University","7","Man",4,"Other","Costa Rica","18-24 years old","Multiracial"
"12781",12781,"Employed","University","12","Man",16,"Bachelor degree","United States of America","35-44 years old","White"
"12782",12782,"Employed","Online Course","20","Man",8,"Master's degree","United States of America","25-34 years old","Asian"
"12783",12783,"Employed","Online Course","5","Man",5,"Other","Brazil","25-34 years old","Multiracial"
"12784",12784,"Other","University","8","Man",6,"Bachelor degree","Bosnia and Herzegovina","25-34 years old","European"
"12788",12788,"Employed","University","12","Man",8,"Bachelor degree","Canada","25-34 years old","Multiracial"
"12790",12790,"Employed","University","9","Man",3,"Bachelor degree","United States of America","18-24 years old","White"
"12792",12792,"Employed","University","12","Man",7,"Bachelor degree","United States of America","45-54 years old","White"
"12793",12793,"Employed","University","27","Man",26,"Master's degree","United States of America","45-54 years old","White"
"12795",12795,"Employed","University","18","Man",12,"Bachelor degree","United States of America","35-44 years old","White"
"12797",12797,"Employed","University","22","Man",13,"Bachelor degree","Germany","35-44 years old","White"
"12798",12798,"Other","Other","12","Man",7,"Other","United States of America","25-34 years old","White"
"12808",12808,"Employed","University","25","Man",20,"Bachelor degree","Canada","35-44 years old","Multiracial"
"12809",12809,"Other","Online Course","4","Man",4,"Bachelor degree","Germany","25-34 years old","European"
"12810",12810,"Employed","University","8","Man",6,"Bachelor degree","Mexico","25-34 years old","Multiracial"
"12811",12811,"Other","University","14","Man",10,"Master's degree","Brazil","25-34 years old","Multiracial"
"12814",12814,"Employed","University","7","Man",7,"Professional degree","Argentina","25-34 years old","Multiracial"
"12815",12815,"Employed","University","10","Man",15,"Master's degree","United States of America","25-34 years old","White"
"12817",12817,"Employed","University","5","Other",8,"Master's degree","United States of America","25-34 years old","White"
"12819",12819,"Employed","Other","44","Man",40,"Master's degree","United Kingdom of Great Britain and Northern Ireland","55-64 years old","White"
"12821",12821,"Employed","University","5","Man",2,"Bachelor degree","Finland","25-34 years old","European"
"12822",12822,"Employed","Bootcamp","3","Man",5,"Primary school","Kazakhstan","18-24 years old","Multiracial"
"12825",12825,"Employed","Online Course","41","Man",28,"Bachelor degree","United States of America","35-44 years old","Multiracial"
"12826",12826,"Employed","Online Course","10","Man",6,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"12827",12827,"Employed","University","20","Man",11,"Doctoral degree","United States of America","35-44 years old","Multiracial"
"12828",12828,"Employed","University","14","Man",1,"Bachelor degree","Israel","25-34 years old","Multiracial"
"12832",12832,"Employed","University","11","Man",8,"Bachelor degree","Brazil","25-34 years old","Multiracial"
"12834",12834,"Employed","University","5","Man",1,"Bachelor degree","United States of America","18-24 years old","White"
"12835",12835,"Employed","Online Course","12","Other",7,"Bachelor degree","United States of America","25-34 years old","White"
"12840",12840,"Employed","University","8","Man",4,"Bachelor degree","United States of America","25-34 years old","White"
"12847",12847,"Employed","Online Course","6","Man",5,"Secondary school","United Kingdom of Great Britain and Northern Ireland","25-34 years old","White"
"12848",12848,"Employed","Online Course","12","Man",4,"Bachelor degree","Canada","25-34 years old","Multiracial"
"12850",12850,"Employed","Other","8","Man",4,"Master's degree","Netherlands","18-24 years old","Multiracial"
"12853",12853,"Employed","University","5","Man",4,"Bachelor degree","United States of America","25-34 years old","White"
"12856",12856,"Employed","Online Course","5","Man",7,"Bachelor degree","Nigeria","25-34 years old","African"
"12857",12857,"Employed","University","20","Other",18,"Bachelor degree","United States of America","35-44 years old","White"
"12858",12858,"Employed","University","6","Man",15,"Associate degree","United States of America","25-34 years old","White"
"12860",12860,"Employed","University","5","Man",3,"Bachelor degree","India","25-34 years old","Indian"
"12861",12861,"Employed","University","5","Man",2,"Other","Spain","18-24 years old","Multiracial"
"12863",12863,"Employed","Online Course","12","Woman",8,"Bachelor degree","Russian Federation","18-24 years old","Multiracial"
"12864",12864,"Employed","University","11","Man",7,"Master's degree","Czech Republic","25-34 years old","European"
"12865",12865,"Employed","University","8","Man",8,"Other","United States of America","35-44 years old","Other"
"12866",12866,"Employed","University","14","Man",10,"Bachelor degree","India","Prefer not to say","Asian"
"12868",12868,"Employed","University","17","Man",7,"Master's degree","Israel","25-34 years old","Multiracial"
"12870",12870,"Employed","University","18","Man",11,"Bachelor degree","United States of America","35-44 years old","White"
"12871",12871,"Employed","Online Course","14","Man",18,"Secondary school","Australia","35-44 years old","European"
"12872",12872,"Employed","University","11","Man",4,"Master's degree","Germany","25-34 years old","Multiracial"
"12873",12873,"Employed","University","13","Man",9,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"12875",12875,"Employed","Online Course","14","Man",9,"Master's degree","United States of America","35-44 years old","Multiracial"
"12876",12876,"Employed","University","5","Man",3,"Associate degree","Netherlands","25-34 years old","Multiracial"
"12883",12883,"Employed","Online Course","14","Man",14,"Doctoral degree","United States of America","45-54 years old","Multiracial"
"12884",12884,"Employed","Online Course","5","Man",1,"Other","Chile","18-24 years old","Multiracial"
"12885",12885,"Employed","University","7","Man",1,"Bachelor degree","India","18-24 years old","Indian"
"12886",12886,"Employed","University","28","Man",18,"Bachelor degree","Romania","35-44 years old","European"
"12888",12888,"Employed","University","9","Man",5,"Bachelor degree","Brazil","25-34 years old","Multiracial"
"12889",12889,"Employed","University","5","Man",1,"Associate degree","South Africa","25-34 years old","Multiracial"
"12895",12895,"Employed","University","7","Man",7,"Bachelor degree","Italy","25-34 years old","European"
"12899",12899,"Employed","University","11","Man",8,"Bachelor degree","Germany","25-34 years old","European"
"12900",12900,"Employed","Online Course","7","Woman",15,"Master's degree","United States of America","35-44 years old","Multiracial"
"12901",12901,"Other","Other","23","Man",5,"Bachelor degree","Canada","35-44 years old","White"
"12902",12902,"Employed","University","6","Man",2,"Primary school","Israel","18-24 years old","Multiracial"
"12906",12906,"Employed","University","8","Man",9,"Master's degree","Sri Lanka","25-34 years old","Multiracial"
"12907",12907,"Employed","University","7","Man",2,"Master's degree","Canada","25-34 years old","Multiracial"
"12909",12909,"Employed","Bootcamp","8","Man",7,"Bachelor degree","United States of America","25-34 years old","Other"
"12913",12913,"Employed","University","5","Man",0,"Other","Guatemala","18-24 years old","Multiracial"
"12915",12915,"Employed","University","5","Man",2,"Bachelor degree","Bangladesh","18-24 years old","Asian"
"12916",12916,"Employed","Online Course","5","Man",3,"Master's degree","Greece","35-44 years old","European"
"12917",12917,"Employed","University","7","Man",3,"Master's degree","Latvia","25-34 years old","White"
"12920",12920,"Employed","University","17","Man",17,"Master's degree","Canada","25-34 years old","Indian"
"12922",12922,"Employed","University","12","Man",1,"Bachelor degree","Italy","18-24 years old","Multiracial"
"12923",12923,"Employed","Online Course","8","Man",8,"Doctoral degree","Ukraine","25-34 years old","Multiracial"
"12925",12925,"Employed","University","12","Man",5,"Master's degree","India","25-34 years old","Indian"
"12927",12927,"Employed","University","18","Man",9,"Master's degree","Turkey","35-44 years old","Other"
"12929",12929,"Other","University","7","Man",5,"Bachelor degree","Poland","25-34 years old","European"
"12931",12931,"Employed","Online Course","12","Man",3,"Bachelor degree","Saudi Arabia","25-34 years old","Other"
"12932",12932,"Employed","University","17","Man",17,"Bachelor degree","Argentina","35-44 years old","Multiracial"
"12933",12933,"Employed","University","5","Man",3,"Bachelor degree","Malaysia","18-24 years old","Multiracial"
"12935",12935,"Employed","Bootcamp","4","Man",1,"Master's degree","Germany","25-34 years old","Indian"
"12936",12936,"Employed","University","12","Man",10,"Master's degree","Mexico","25-34 years old","Multiracial"
"12937",12937,"Employed","Online Course","25","Man",25,"Secondary school","Germany","35-44 years old","European"
"12938",12938,"Employed","University","16","Man",11,"Bachelor degree","Netherlands","25-34 years old","Indian"
"12939",12939,"Employed","Online Course","7","Man",2,"Bachelor degree","United States of America","18-24 years old","Multiracial"
"12941",12941,"Employed","University","3","Man",10,"Master's degree","El Salvador","25-34 years old","Multiracial"
"12943",12943,"Employed","University","6","Man",5,"Bachelor degree","United States of America","25-34 years old","White"
"12947",12947,"Employed","University","8","Man",3,"Master's degree","Italy","35-44 years old","Multiracial"
"12948",12948,"Employed","Online Course","5","Man",6,"Bachelor degree","India","25-34 years old","Asian"
"12950",12950,"Employed","University","6","Man",1,"Bachelor degree","United States of America","18-24 years old","European"
"12952",12952,"Employed","University","15","Man",10,"Bachelor degree","United States of America","25-34 years old","White"
"12955",12955,"Employed","University","6","Man",3,"Other","Canada","18-24 years old","Multiracial"
"12956",12956,"Employed","University","30","Man",22,"Bachelor degree","Uruguay","35-44 years old","Multiracial"
"12958",12958,"Other","University","40","Man",31,"Doctoral degree","United States of America","55-64 years old","White"
"12959",12959,"Employed","Online Course","15","Man",5,"Master's degree","Germany","35-44 years old","European"
"12962",12962,"Employed","University","3","Man",2,"Bachelor degree","Brazil","18-24 years old","White"
"12963",12963,"Employed","Other","12","Man",2,"Master's degree","United States of America","25-34 years old","White"
"12966",12966,"Employed","University","11","Man",11,"Bachelor degree","Germany","25-34 years old","Multiracial"
"12967",12967,"Employed","University","20","Man",15,"Bachelor degree","Viet Nam","35-44 years old","Multiracial"
"12970",12970,"Employed","Online Course","15","Man",9,"Other","Czech Republic","25-34 years old","Multiracial"
"12972",12972,"Employed","Bootcamp","1","Woman",1,"Other","United States of America","25-34 years old","White"
"12976",12976,"Employed","Bootcamp","3","Man",3,"Associate degree","United States of America","35-44 years old","White"
"12979",12979,"Employed","Other","19","Man",10,"Master's degree","Denmark","25-34 years old","Multiracial"
"12981",12981,"Employed","University","26","Man",15,"Master's degree","United States of America","35-44 years old","Multiracial"
"12982",12982,"Employed","Online Course","4","Man",11,"Master's degree","Azerbaijan","35-44 years old","Other"
"12983",12983,"Employed","University","16","Man",13,"Bachelor degree","Brazil","35-44 years old","White"
"12988",12988,"Employed","Online Course","25","Man",13,"Bachelor degree","Canada","35-44 years old","Multiracial"
"12997",12997,"Employed","University","6","Man",1,"Bachelor degree","Brazil","18-24 years old","Multiracial"
"12998",12998,"Employed","University","7","Man",4,"Bachelor degree","Brazil","18-24 years old","Multiracial"
"13004",13004,"Employed","Online Course","12","Man",10,"Bachelor degree","Brazil","35-44 years old","Multiracial"
"13006",13006,"Employed","University","10","Man",5,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"13010",13010,"Employed","University","36","Other",15,"Doctoral degree","France","35-44 years old","Multiracial"
"13011",13011,"Employed","University","4","Other",1,"Bachelor degree","United States of America","18-24 years old","Multiracial"
"13014",13014,"Employed","Other","10","Man",8,"Bachelor degree","India","25-34 years old","Indian"
"13016",13016,"Employed","University","7","Man",0,"Bachelor degree","Brazil","25-34 years old","Multiracial"
"13017",13017,"Employed","University","10","Man",4,"Bachelor degree","Canada","25-34 years old","Multiracial"
"13021",13021,"Employed","Online Course","6","Man",10,"Other","Mexico","25-34 years old","Multiracial"
"13025",13025,"Employed","University","20","Man",20,"Other","Germany","35-44 years old","European"
"13027",13027,"Employed","University","11","Man",1,"Master's degree","South Africa","25-34 years old","Multiracial"
"13036",13036,"Other","University","40","Man",40,"Bachelor degree","United States of America","55-64 years old","White"
"13038",13038,"Employed","University","7","Man",3,"Bachelor degree","Ecuador","25-34 years old","Multiracial"
"13040",13040,"Employed","University","10","Man",20,"Professional degree","United States of America","35-44 years old","White"
"13044",13044,"Employed","Other","18","Man",10,"Master's degree","Poland","25-34 years old","European"
"13047",13047,"Employed","Online Course","29","Man",19,"Secondary school","United States of America","35-44 years old","White"
"13048",13048,"Employed","University","7","Man",25,"Bachelor degree","United States of America","35-44 years old","White"
"13051",13051,"Employed","Online Course","15","Man",7,"Secondary school","Japan","25-34 years old","Multiracial"
"13052",13052,"Employed","University","20","Man",12,"Bachelor degree","Canada","35-44 years old","Multiracial"
"13057",13057,"Employed","Online Course","2","Man",2,"Secondary school","Spain","25-34 years old","White"
"13060",13060,"Employed","University","17","Man",14,"Bachelor degree","Switzerland","35-44 years old","European"
"13061",13061,"Employed","University","4","Woman",1,"Professional degree","Honduras","18-24 years old","Multiracial"
"13063",13063,"Employed","University","24","Man",21,"Master's degree","United States of America","35-44 years old","White"
"13069",13069,"Employed","Other","12","Man",7,"Doctoral degree","United States of America","35-44 years old","White"
"13072",13072,"Employed","Other","7","Man",6,"Doctoral degree","United States of America","35-44 years old","Multiracial"
"13073",13073,"Employed","Online Course","3","Man",4,"Master's degree","Russian Federation","35-44 years old","White"
"13078",13078,"Employed","Online Course","30","Man",17,"Bachelor degree","United States of America","35-44 years old","White"
"13082",13082,"Employed","Online Course","5","Man",10,"Master's degree","Bahrain","35-44 years old","Multiracial"
"13083",13083,"Employed","University","21","Man",12,"Bachelor degree","United States of America","25-34 years old","Indian"
"13084",13084,"Employed","University","7","Man",7,"Bachelor degree","India","25-34 years old","Multiracial"
"13085",13085,"Employed","University","17","Other",6,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"13088",13088,"Employed","University","13","Man",8,"Bachelor degree","United States of America","25-34 years old","White"
"13090",13090,"Employed","University","2","Man",1,"Bachelor degree","France","18-24 years old","Multiracial"
"13092",13092,"Other","Online Course","8","Man",8,"Bachelor degree","Pakistan","25-34 years old","Multiracial"
"13095",13095,"Employed","University","14","Man",3,"Other","Czech Republic","25-34 years old","Multiracial"
"13099",13099,"Employed","University","27","Man",23,"Bachelor degree","Canada","45-54 years old","Multiracial"
"13100",13100,"Employed","University","15","Man",8,"Bachelor degree","United States of America","25-34 years old","European"
"13101",13101,"Other","Online Course","2","Man",12,"Master's degree","Russian Federation","25-34 years old","Multiracial"
"13104",13104,"Employed","Online Course","3","Man",3,"Bachelor degree","Iran, Islamic Republic of...","18-24 years old","Multiracial"
"13107",13107,"Employed","University","10","Man",6,"Bachelor degree","Brazil","25-34 years old","White"
"13109",13109,"Employed","Other","22","Man",22,"Bachelor degree","Brazil","35-44 years old","Multiracial"
"13111",13111,"Employed","Online Course","5","Other",10,"Bachelor degree","United States of America","25-34 years old","White"
"13112",13112,"Other","Bootcamp","1","Woman",1,"Master's degree","Netherlands","35-44 years old","European"
"13113",13113,"Employed","Online Course","25","Man",25,"Other","United States of America","45-54 years old","White"
"13116",13116,"Employed","Online Course","8","Man",4,"Bachelor degree","Thailand","25-34 years old","Multiracial"
"13117",13117,"Employed","University","3","Man",2,"Bachelor degree","France","18-24 years old","Other"
"13118",13118,"Employed","Bootcamp","6","Other",6,"Bachelor degree","United States of America","25-34 years old","White"
"13122",13122,"Employed","University","27","Man",27,"Bachelor degree","United States of America","45-54 years old","Multiracial"
"13129",13129,"Employed","University","11","Woman",6,"Bachelor degree","Thailand","35-44 years old","European"
"13130",13130,"Employed","University","12","Woman",4,"Master's degree","Brazil","25-34 years old","White"
"13131",13131,"Employed","University","6","Woman",3,"Professional degree","France","25-34 years old","European"
"13132",13132,"Employed","University","2","Man",2,"Bachelor degree","Romania","25-34 years old","European"
"13136",13136,"Employed","University","14","Man",9,"Bachelor degree","Greece","25-34 years old","European"
"13137",13137,"Employed","University","20","Man",14,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"13139",13139,"Employed","Online Course","10","Man",4,"Other","United States of America","25-34 years old","White"
"13140",13140,"Employed","University","8","Man",5,"Bachelor degree","United States of America","18-24 years old","Multiracial"
"13141",13141,"Employed","University","8","Man",1,"Bachelor degree","United States of America","18-24 years old","White"
"13142",13142,"Employed","Online Course","19","Man",9,"Bachelor degree","Chile","25-34 years old","Multiracial"
"13144",13144,"Employed","University","7","Other",3,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"13145",13145,"Employed","Online Course","12","Woman",12,"Bachelor degree","United States of America","35-44 years old","Multiracial"
"13147",13147,"Employed","Online Course","13","Other",10,"Other","United States of America","25-34 years old","White"
"13150",13150,"Employed","University","32","Man",20,"Doctoral degree","Germany","35-44 years old","Multiracial"
"13153",13153,"Employed","University","21","Man",15,"Professional degree","Portugal","35-44 years old","Multiracial"
"13156",13156,"Employed","Online Course","16","Woman",9,"Other","Ireland","25-34 years old","Multiracial"
"13161",13161,"Employed","University","3","Man",3,"Master's degree","United States of America","25-34 years old","White"
"13162",13162,"Employed","University","17","Woman",9,"Master's degree","Russian Federation","25-34 years old","Multiracial"
"13166",13166,"Employed","Bootcamp","9","Man",7,"Other","Iran, Islamic Republic of...","25-34 years old","Asian"
"13169",13169,"Employed","University","6","Man",4,"Bachelor degree","United States of America","25-34 years old","White"
"13172",13172,"Employed","Online Course","5","Man",20,"Bachelor degree","United States of America","35-44 years old","White"
"13174",13174,"Employed","University","10","Man",8,"Bachelor degree","India","25-34 years old","Indian"
"13175",13175,"Employed","Bootcamp","5","Man",1,"Other","Kenya","18-24 years old","African"
"13179",13179,"Employed","University","3","Man",2,"Other","Canada","18-24 years old","Multiracial"
"13181",13181,"Employed","University","22","Man",12,"Bachelor degree","United States of America","35-44 years old","White"
"13182",13182,"Employed","University","8","Man",7,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"13184",13184,"Employed","University","30","Man",21,"Master's degree","Germany","55-64 years old","European"
"13186",13186,"Employed","University","10","Man",6,"Secondary school","Germany","25-34 years old","Multiracial"
"13187",13187,"Employed","University","9","Man",6,"Bachelor degree","United States of America","25-34 years old","White"
"13188",13188,"Employed","University","16","Man",9,"Bachelor degree","United States of America","25-34 years old","White"
"13190",13190,"Employed","University","14","Man",9,"Bachelor degree","Mexico","25-34 years old","Multiracial"
"13191",13191,"Employed","University","5","Man",2,"Bachelor degree","United States of America","25-34 years old","Multiracial"
"13195",13195,"Employed","University","21","Man",16,"Bachelor degree","Canada","35-44 years old","Multiracial"
"13197",13197,"Employed","University","5","Man",4,"Bachelor degree","India","25-34 years old","Indian"
"13200",13200,"Employed","Online Course","12","Man",12,"Other","United States of America","45-54 years old","Multiracial"
"13201",13201,"Other","Other","5","Man",6,"Bachelor degree","Chile","25-34 years old","Multiracial"
"13202",13202,"Employed","University","21","Man",16,"Master's degree","Argentina","35-44 years old","Multiracial"
"13203",13203,"Employed","University","45","Man",42,"Bachelor degree","United Kingdom of Great Britain and Northern Ireland","55-64 years old","Multiracial"
"13207",13207,"Employed","Online Course","2","Man",4,"Bachelor degree","Canada","35-44 years old","Multiracial"
"13209",13209,"Employed","University","5","Man",3,"Bachelor degree","India","25-34 years old","Indian"
"13212",13212,"Employed","University","6","Man",6,"Bachelor degree","United States of America","18-24 years old","Multiracial"
"13216",13216,"Other","University","8","Man",2,"Secondary school","United Kingdom of Great Britain and Northern Ireland","18-24 years old","White"
"13217",13217,"Employed","Online Course","12","Man",11,"Other","United States of America","35-44 years old","White"
"13219",13219,"Other","University","22","Man",40,"Master's degree","United Kingdom of Great Britain and Northern Ireland","55-64 years old","White"
"13220",13220,"Employed","University","31","Man",28,"Bachelor degree","United States of America","45-54 years old","White"
